target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,0,0,5,,,1.0214686000254003,e,1,0.15,60,dyh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,1,1,11,,,0.9170357999391854,a,1,0.15,180,dyh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,2,2,17,,,1.094091400038451,c,1,0.15,300,dyh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,3,3,6,,,1.5065728998742998,q,1,0.05,120,dyh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,4,4,3,,,5.463481700047851,d,0,0.05,60,dyh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,5,5,15,,,0.9473659999202936,c,1,0.05,300,dyh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,6,6,10,,,1.196809999877587,q,0,0.1,180,dyh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,7,7,12,,,2.1368110000621527,a,0,0.05,240,dyh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,8,8,2,,,2.6817431000526994,d,1,0.15,0,dyh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,9,9,4,,,0.9852493999060244,c,0,0.1,60,dyh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,10,10,13,,,0.9054016000591218,z,1,0.1,240,dyh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,11,11,8,,,0.9005515000317246,q,1,0.15,120,dyh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,12,12,7,,,7.237868400057778,q,1,0.1,120,dyh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,13,13,0,,,0.7537607001140714,c,0,0.05,0,dyh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,14,14,9,,,2.4389866997953504,a,1,0.05,180,dyh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,15,15,16,,,0.9421095000579952,c,1,0.1,300,dyh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,16,16,14,,,1.6996843998786062,a,0,0.15,240,dyh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,17,17,1,,,3.1362729999236763,c,0,0.1,0,dyh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",1,0,18,7,,,0.8820805998984724,c,0,0.1,120,dyh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",1,1,19,13,,,0.7356376000680029,q,0,0.1,240,dyh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",1,2,20,10,,,0.8214120999909937,a,1,0.1,180,dyh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",1,3,21,17,,,1.0505736998748034,c,1,0.15,300,dyh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",1,4,22,0,,,5.031917900079861,c,0,0.05,0,dyh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",1,5,23,14,,,1.316898599965498,z,1,0.15,240,dyh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",1,6,24,15,,,1.2819779000710696,c,1,0.05,300,dyh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",1,7,25,12,,,1.4453170001506803,c,0,0.05,240,dyh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",1,8,26,3,,,1.3296098001301289,e,1,0.05,60,dyh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",1,9,27,5,,,1.1542647001333537,e,1,0.15,60,dyh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",1,10,28,6,,,1.9423016000073403,a,0,0.05,120,dyh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",1,11,29,8,,,0.9778994000516832,e,0,0.15,120,dyh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",1,12,30,9,,,0.9486529000569136,e,0,0.05,180,dyh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",1,13,31,11,,,0.7167056000325829,a,1,0.15,180,dyh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",1,14,32,2,,,0.8376315999776125,c,0,0.15,0,dyh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",1,15,33,1,,,0.6154551999643445,q,0,0.1,0,dyh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",1,16,34,16,,,1.6331507000140846,z,0,0.1,300,dyh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",1,17,35,4,,,2.099671500036493,e,1,0.1,60,dyh,
