target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,0,0,1,,,1.6949382999446243,d,1,0.1,0,gy,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,1,1,7,,,1.1972695000004023,q,1,0.1,120,gy,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,2,2,5,,,1.275281900074333,e,1,0.15,60,gy,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,3,3,3,,,1.8159429000224918,a,0,0.05,60,gy,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,4,4,15,,,0.9538394999690354,c,1,0.05,300,gy,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,5,5,4,,,1.4458854000549763,a,0,0.1,60,gy,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,6,6,14,,,0.821470599854365,a,0,0.15,240,gy,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,7,7,11,,,0.8694614002015442,a,1,0.15,180,gy,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,8,8,13,,,1.5849195998162031,z,1,0.1,240,gy,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,9,9,2,,,1.6206912000197917,d,1,0.15,0,gy,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,10,10,10,,,1.5432482999749482,a,1,0.1,180,gy,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,11,11,6,,,2.5240227999165654,z,0,0.05,120,gy,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,12,12,16,,,0.9606192000210285,c,1,0.1,300,gy,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,13,13,9,,,0.9195586999412626,a,1,0.05,180,gy,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,14,14,8,,,0.9243809999898076,q,1,0.15,120,gy,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,15,15,12,,,0.9327591999899596,d,0,0.05,240,gy,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,16,16,0,,,0.9362957000266761,d,1,0.05,0,gy,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,17,17,17,,,0.8031267998740077,c,1,0.15,300,gy,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",1,0,18,8,,,0.8863411999773234,q,1,0.15,120,gy,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",1,1,19,16,,,1.335618100129068,d,0,0.1,300,gy,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",1,2,20,10,,,2.1670525998342782,a,1,0.1,180,gy,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",1,3,21,3,,,1.166092799976468,e,1,0.05,60,gy,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",1,4,22,1,,,1.2149266998749226,d,1,0.1,0,gy,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",1,5,23,14,,,1.0861868001520634,z,1,0.15,240,gy,
