target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,0,0,4,,,1.2568148002028463,e,1,0.1,60,lx,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,1,1,1,,,0.9607243000064044,d,1,0.1,0,lx,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,2,2,12,,,0.7966853999532759,z,1,0.05,240,lx,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,3,3,17,,,1.232863400131464,c,1,0.15,300,lx,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,4,4,13,,,0.7950935999397188,z,1,0.1,240,lx,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,5,5,8,,,0.6939298999495804,q,1,0.15,120,lx,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,6,6,10,,,0.6329391999170184,a,1,0.1,180,lx,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,7,7,6,,,0.8632819000631571,e,0,0.05,120,lx,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,8,8,7,,,0.5909148999489844,q,1,0.1,120,lx,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,9,9,3,,,2.277526099933312,q,0,0.05,60,lx,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,10,10,15,,,0.9771698000840844,c,1,0.05,300,lx,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,11,11,2,,,0.7304136001039296,d,1,0.15,0,lx,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,12,12,11,,,0.5788902998901904,a,1,0.15,180,lx,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,13,13,16,,,1.2379473999608308,c,1,0.1,300,lx,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,14,14,5,,,0.8834579999092966,e,1,0.15,60,lx,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,15,15,9,,,1.0329849000554532,a,1,0.05,180,lx,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,16,16,14,,,1.1114312999416145,z,1,0.15,240,lx,
