target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,0,0,10,,,2.1781852999702096,a,1,0.1,180,lx,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,1,1,14,,,1.6191278002224865,z,1,0.15,240,lx,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,2,2,2,,,1.1293721001129595,d,1,0.15,0,lx,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,3,3,3,,,1.5848815999925137,c,0,0.05,60,lx,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,4,4,1,,,1.1550493000540882,d,1,0.1,0,lx,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,5,5,0,,,2.5668499001767486,c,0,0.05,0,lx,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,6,6,5,,,1.40955700003542,e,1,0.15,60,lx,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,7,7,11,,,1.47448300011456,a,1,0.15,180,lx,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,8,8,7,,,1.325259699951857,q,1,0.1,120,lx,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,9,9,12,,,1.0573022000025958,a,0,0.05,240,lx,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,10,10,13,,,1.456276900134981,z,1,0.1,240,lx,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,11,11,8,,,1.3244805000722408,q,1,0.15,120,lx,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,12,12,4,,,1.5350400998722762,e,1,0.1,60,lx,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,13,13,16,,,1.0810759000014514,c,1,0.1,300,lx,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,14,14,6,,,1.8760514999739824,e,0,0.05,120,lx,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,15,15,17,,,1.3607965998817235,c,1,0.15,300,lx,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,16,16,9,,,1.4440929999109358,c,0,0.05,180,lx,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,17,17,15,,,3.3595340000465512,right,0,0.05,300,lx,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",1,0,18,0,,,2.345107699977234,e,0,0.05,0,lx,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",1,1,19,1,,,4.759640300180763,d,1,0.1,0,lx,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",1,2,20,13,,,2.401501100044697,e,0,0.1,240,lx,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",1,3,21,16,,,1.1307072001509368,c,1,0.1,300,lx,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",1,4,22,9,,,1.3951059998944402,a,1,0.05,180,lx,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",1,5,23,10,,,1.5848346001002938,z,0,0.1,180,lx,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",1,6,24,14,,,1.1974007999524474,z,1,0.15,240,lx,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",1,7,25,3,,,1.730403499910608,z,0,0.05,60,lx,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",1,8,26,11,,,1.3144052000716329,a,1,0.15,180,lx,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",1,9,27,4,,,1.6765363002195954,e,1,0.1,60,lx,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",1,10,28,8,,,1.450948999961838,q,1,0.15,120,lx,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",1,11,29,17,,,1.487155199982226,c,1,0.15,300,lx,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",1,12,30,15,,,1.7717154999263585,z,0,0.05,300,lx,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",1,13,31,12,,,2.554766100132838,z,1,0.05,240,lx,
