target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,0,0,6,,,2.426740899914876,c,0,0.05,120,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,1,1,9,,,1.3787328000180423,a,1,0.05,180,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,2,2,2,,,1.8920042000245303,d,1,0.15,0,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,3,3,5,,,1.4937661001458764,e,1,0.15,60,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,4,4,4,,,2.372589400038123,z,0,0.1,60,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,5,5,14,,,2.2998977000825107,z,1,0.15,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,6,6,8,,,1.6089218000415713,q,1,0.15,120,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,7,7,16,,,2.478463100036606,c,1,0.1,300,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,8,8,13,,,3.772744199959561,z,1,0.1,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,9,9,7,,,1.8493977000471205,q,1,0.1,120,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,10,10,17,,,1.6876968999858946,c,1,0.15,300,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,11,11,10,,,2.099279300076887,a,1,0.1,180,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,12,12,11,,,2.1848528999835253,a,1,0.15,180,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,13,13,0,,,3.0745403000619262,d,1,0.05,0,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,14,14,3,,,3.6448095000814646,e,1,0.05,60,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,15,15,15,,,2.5197438998147845,d,0,0.05,300,sjh,
