target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,0,0,6,,,2.2459688000381,a,0,0.05,120,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,1,1,9,,,1.7360418001189828,a,1,0.05,180,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,2,2,1,,,1.3000233001075685,e,0,0.1,0,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,3,3,11,,,1.5661742000374943,a,1,0.15,180,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,4,4,7,,,1.7068757999222726,q,1,0.1,120,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,5,5,17,,,1.3534175001550466,c,1,0.15,300,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,6,6,0,,,2.104738699970767,a,0,0.05,0,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,7,7,2,,,2.2375783999450505,d,1,0.15,0,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,8,8,5,,,1.572968800086528,e,1,0.15,60,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,9,9,3,,,4.019870900083333,q,0,0.05,60,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,10,10,13,,,4.529171299887821,e,0,0.1,240,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,11,11,15,,,1.063509700121358,c,1,0.05,300,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,12,12,4,,,5.147010700078681,w,0,0.1,60,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,13,13,14,,,0.9975357998628168,z,1,0.15,240,sjh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,14,14,12,,,2.34151989989914,a,0,0.05,240,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,15,15,16,,,1.6999618001282215,c,1,0.1,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,16,16,8,,,1.656591200036928,q,1,0.15,120,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,17,17,10,,,0.801151999970898,z,0,0.1,180,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",1,0,18,3,,,2.0574119999073446,right,0,0.05,60,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",1,1,19,2,,,0.9966573999263346,d,1,0.15,0,sjh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",1,2,20,12,,,3.2995426000561565,d,0,0.05,240,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",1,3,21,11,,,1.645030700135976,a,1,0.15,180,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",1,4,22,5,,,1.36672699986957,e,1,0.15,60,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",1,5,23,9,,,1.6864642000291497,a,1,0.05,180,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",1,6,24,10,,,1.6864749998785555,a,1,0.1,180,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",1,7,25,16,,,2.653472899924964,z,0,0.1,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",1,8,26,7,,,4.310443599941209,e,0,0.1,120,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",1,9,27,15,,,3.4640720998868346,z,0,0.05,300,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",1,10,28,0,,,1.97746800002642,d,1,0.05,0,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",1,11,29,14,,,1.0633944000583142,z,1,0.15,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",1,12,30,8,,,0.9544498999603092,q,1,0.15,120,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",1,13,31,6,,,1.9722956998739392,d,0,0.05,120,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",1,14,32,13,,,1.698666799813509,z,1,0.1,240,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",1,15,33,1,,,1.707175099989399,d,1,0.1,0,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",1,16,34,4,,,1.2569794999435544,e,1,0.1,60,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",1,17,35,17,,,1.4498368001077324,c,1,0.15,300,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",2,0,36,15,,,1.052057199878618,d,0,0.05,300,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",2,1,37,3,,,2.517297599930316,q,0,0.05,60,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",2,2,38,5,,,1.1406215999741107,e,1,0.15,60,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",2,3,39,1,,,1.1006177000235766,d,1,0.1,0,sjh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",2,4,40,12,,,3.510502199875191,e,0,0.05,240,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",2,5,41,17,,,0.9534567999653518,c,1,0.15,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",2,6,42,6,,,1.517324999906123,d,0,0.05,120,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",2,7,43,13,,,1.2522703998256477,z,1,0.1,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",2,8,44,7,,,2.294264500029385,q,1,0.1,120,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",2,9,45,11,,,1.1770428998861462,a,1,0.15,180,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",2,10,46,4,,,1.1174689999315888,e,1,0.1,60,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",2,11,47,8,,,3.2088022001553327,c,0,0.15,120,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",2,12,48,9,,,0.9179277000948788,a,1,0.05,180,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",2,13,49,14,,,0.8749661999754608,z,1,0.15,240,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",2,14,50,2,,,0.9250413000117989,d,1,0.15,0,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",2,15,51,0,,,7.578320000087842,d,1,0.05,0,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",2,16,52,10,,,1.9544409001246088,a,1,0.1,180,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",2,17,53,16,,,1.880723799811676,c,1,0.1,300,sjh,
