target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,0,0,15,,,1.432396800024435,e,0,0.05,300,wzy,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,1,1,11,,,0.6274409999605268,a,1,0.15,180,wzy,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,2,2,7,,,1.4568660000804812,q,1,0.1,120,wzy,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,3,3,2,,,0.8108890000730753,d,1,0.15,0,wzy,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,4,4,8,,,0.9910144999157636,q,1,0.15,120,wzy,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,5,5,0,,,0.8333004000596702,d,1,0.05,0,wzy,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,6,6,9,,,1.9487685000058264,z,0,0.05,180,wzy,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,7,7,13,,,0.8033800998236984,z,1,0.1,240,wzy,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,8,8,5,,,0.7836144999600947,e,1,0.15,60,wzy,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,9,9,14,,,0.7479068001266569,z,1,0.15,240,wzy,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,10,10,16,,,1.106255599996075,e,0,0.1,300,wzy,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,11,11,4,,,0.742494799895212,e,1,0.1,60,wzy,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,12,12,10,,,0.7661818000487983,a,1,0.1,180,wzy,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,13,13,3,,,3.416470899945125,e,1,0.05,60,wzy,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,14,14,12,,,1.0757740000262856,z,1,0.05,240,wzy,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,15,15,6,,,1.7058793001342565,e,0,0.05,120,wzy,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,16,16,17,,,0.8862848998978734,c,1,0.15,300,wzy,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,17,17,1,,,0.988042499870062,d,1,0.1,0,wzy,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",1,0,18,2,,,0.7544745998457074,d,1,0.15,0,wzy,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",1,1,19,15,,,0.9247691000346094,right,0,0.05,300,wzy,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",1,2,20,0,,,1.495541000040248,d,1,0.05,0,wzy,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",1,3,21,5,,,0.7968155997805297,e,1,0.15,60,wzy,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",1,4,22,16,,,1.0332009999547154,c,1,0.1,300,wzy,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",1,5,23,10,,,0.9844784999731928,a,1,0.1,180,wzy,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",1,6,24,4,,,0.9658365999348462,e,1,0.1,60,wzy,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",1,7,25,13,,,0.8145123000722378,z,1,0.1,240,wzy,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",1,8,26,7,,,1.05823460011743,q,1,0.1,120,wzy,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",1,9,27,14,,,0.7428516000509262,z,1,0.15,240,wzy,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",1,10,28,11,,,0.7292810000944883,a,1,0.15,180,wzy,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",1,11,29,6,,,0.7302971000317484,z,0,0.05,120,wzy,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",1,12,30,17,,,1.79667739989236,c,1,0.15,300,wzy,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",1,13,31,9,,,0.6935556000098586,a,1,0.05,180,wzy,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",1,14,32,1,,,0.802770699840039,d,1,0.1,0,wzy,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",1,15,33,12,,,1.5853868999984115,z,1,0.05,240,wzy,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",1,16,34,8,,,0.7294081000145525,q,1,0.15,120,wzy,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",1,17,35,3,,,1.9248900001402944,q,0,0.05,60,wzy,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",2,0,36,5,,,0.9747044001705945,e,1,0.15,60,wzy,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",2,1,37,11,,,1.0886301000136882,a,1,0.15,180,wzy,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",2,2,38,8,,,1.3425570998806506,q,1,0.15,120,wzy,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",2,3,39,6,,,4.299157399917021,c,0,0.05,120,wzy,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",2,4,40,15,,,2.7476955000311136,c,1,0.05,300,wzy,
